"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"e:\coding projects\fresha-react\src\App.css", "CSS", 0, 0, 4, 0, 0, 0, 4
"e:\coding projects\fresha-react\src\App.jsx", "JavaScript JSX", 0, 11, 0, 0, 7, 5, 23
"e:\coding projects\fresha-react\src\Home.jsx", "JavaScript JSX", 0, 14, 0, 0, 1, 6, 21
"e:\coding projects\fresha-react\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"e:\coding projects\fresha-react\src\components\Error\ErrorPage.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 2, 16
"e:\coding projects\fresha-react\src\components\appointmentComponents\DateAndTime.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 5, 14
"e:\coding projects\fresha-react\src\components\appointmentIncreasing\AppointmentIncreasing.jsx", "JavaScript JSX", 0, 27, 0, 0, 1, 6, 34
"e:\coding projects\fresha-react\src\components\bookNow\BookNowAndContinue.jsx", "JavaScript JSX", 0, 64, 0, 0, 2, 19, 85
"e:\coding projects\fresha-react\src\components\booking\Booking.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 6, 55
"e:\coding projects\fresha-react\src\components\breadCrumbs\BreadCrumbs.jsx", "JavaScript JSX", 0, 41, 0, 0, 1, 7, 49
"e:\coding projects\fresha-react\src\components\carousel\CarouselComp.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 5, 54
"e:\coding projects\fresha-react\src\components\carousel\CarouselToShop.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 4, 53
"e:\coding projects\fresha-react\src\components\carousel\CarouselWithServices.jsx", "JavaScript JSX", 0, 235, 0, 0, 17, 53, 305
"e:\coding projects\fresha-react\src\components\getAppQrBtn\GetAppBtn.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 1, 13
"e:\coding projects\fresha-react\src\components\getBookingApp\GetBookingApp.jsx", "JavaScript JSX", 0, 78, 0, 0, 2, 14, 94
"e:\coding projects\fresha-react\src\components\reviews\TopReviewsSalons.jsx", "JavaScript JSX", 0, 99, 0, 0, 3, 19, 121
"e:\coding projects\fresha-react\src\components\subCategories\SubCategories.jsx", "JavaScript JSX", 0, 42, 0, 0, 0, 12, 54
"e:\coding projects\fresha-react\src\components\subCategories\subCategoryLink.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 2, 9
"e:\coding projects\fresha-react\src\container\Container.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 2, 11
"e:\coding projects\fresha-react\src\data\salondata\dubai\dubaiData.js", "JavaScript", 1607, 0, 0, 0, 1, 21, 1629
"e:\coding projects\fresha-react\src\data\salondata\global\globalSalonData.js", "JavaScript", 13, 0, 0, 0, 10, 11, 34
"e:\coding projects\fresha-react\src\data\salondata\oman\omanData.js", "JavaScript", 1669, 0, 0, 0, 0, 8, 1677
"e:\coding projects\fresha-react\src\data\salondata\pakistan\pakistanData.js", "JavaScript", 1464, 0, 0, 0, 1, 18, 1483
"e:\coding projects\fresha-react\src\data\salondata\services\citySalonServices.js", "JavaScript", 34, 0, 0, 0, 3, 12, 49
"e:\coding projects\fresha-react\src\homeComponents\HeroSection.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 5, 22
"e:\coding projects\fresha-react\src\homeComponents\SalonCarousels.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 8, 39
"e:\coding projects\fresha-react\src\index.css", "CSS", 0, 0, 113, 0, 2, 32, 147
"e:\coding projects\fresha-react\src\main.jsx", "JavaScript JSX", 0, 104, 0, 0, 7, 8, 119
